User_ID,Date,Transaction_Type,Amount,Fixed
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-16,입금:배당금,39692,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-08,입금:보험금,81145,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-26,입금:배당금,6090,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-27,입금:정부지원금,126223,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-23,입금:당근거래입금,8505,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-30,입금:당근거래입금,9186,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-02,입금:당근거래입금,5926,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-07,입금:정부지원금,150385,True
user_1,2023-12-10,입금:월급,2927696,True
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-25,입금:정부지원금,124830,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-07,입금:당근거래입금,7490,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-10,입금:보험금,24958,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-01,입금:당근거래입금,8301,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-16,입금:정부지원금,199880,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-11,입금:당근거래입금,5821,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-10,입금:월급,2927696,True
user_1,2023-01-07,입금:당근거래입금,20000,True
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-11,입금:배당금,45829,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-10,입금:배당금,92341,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-27,입금:보험금,69118,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-25,입금:보험금,85439,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-23,입금:당근거래입금,30000,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-18,입금:정부지원금,200000,True
user_1,2023-12-10,입금:월급,2927696,True
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-17,입금:정부지원금,200000,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-11,입금:배당금,31930,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-01,입금:배당금,47659,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-05,입금:보험금,103652,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-29,입금:정부지원금,100000,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-12,입금:당근거래입금,10000,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-11,입금:배당금,79187,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-01,입금:배당금,48667,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-21,입금:당근거래입금,30000,True
user_1,2023-12-10,입금:월급,2927696,True
user_1,2023-01-06,입금:배당금,72062,True
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-05,입금:정부지원금,200000,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-18,입금:보험금,64129,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-01,입금:보험금,147630,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-27,입금:보험금,176191,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-11,입금:정부지원금,300000,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-25,입금:배당금,82331,True
user_1,2023-12-10,입금:월급,2927696,True
user_1,2023-01-10,입금:월급,2927696,True
user_1,2023-02-10,입금:월급,2927696,True
user_1,2023-03-19,입금:보험금,78157,True
user_1,2023-03-10,입금:월급,2927696,True
user_1,2023-04-09,입금:당근거래입금,50000,True
user_1,2023-04-10,입금:월급,2927696,True
user_1,2023-05-10,입금:월급,2927696,True
user_1,2023-06-10,입금:월급,2927696,True
user_1,2023-07-14,입금:보험금,116584,True
user_1,2023-07-10,입금:월급,2927696,True
user_1,2023-08-18,입금:정부지원금,100000,True
user_1,2023-08-10,입금:월급,2927696,True
user_1,2023-09-10,입금:월급,2927696,True
user_1,2023-10-05,입금:배당금,47860,True
user_1,2023-10-10,입금:월급,2927696,True
user_1,2023-11-25,입금:보험금,167639,True
user_1,2023-11-10,입금:월급,2927696,True
user_1,2023-12-10,입금:월급,2927696,True
